Team,SOS,NET,Offensive Rating,Defensive Rating,EFG,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,PACE,3PAR,FTAR,PPG,FG%,2FG%,3FG%,FT%,APG,AST-TOV,Allowed_PPG,Allowed_FG%,2Point_Allowed_FG%,3Point_Allowed_FG%,SPG,BPG,Fouls,ADJOE,ADJDE,BARTHAG,WAB,CONF
FGCU,266,173,109.6,106.5,53.60%,55.50%,30.00%,73.60%,52.50%,50.50%,8.30%,4.10%,65.7,0.382,0.232,72,46.80%,53.90%,35.50%,68.90%,13.8,1.3,69.9,42.50%,48.20%,35.20%,5.4,2.4,15,106.5174,108.5215,0.4485182,-9.4187,ASun
IU Indianapolis,274,315,109.5,119.9,50.40%,54.40%,30.50%,66.40%,47.10%,53.20%,9.00%,3.50%,65.8,0.473,0.341,72.4,41.70%,46.20%,36.80%,74.80%,12.7,1.23,79.7,49.50%,57.80%,37.30%,6,2,17.9,109.5115,123.3363,0.2035307,-17.6332,Horz
Manhattan,299,243,109.5,109.4,50.80%,54.70%,32.20%,68.30%,50.30%,55.70%,9.20%,3.90%,67.9,0.415,0.317,75.9,43.70%,50.40%,34.20%,76.80%,14.7,1.28,75.2,44.10%,52.60%,32.40%,6.3,2.4,14.3,107.9138,115.9339,0.3046259,-10.0198,MAAC
Michigan,7,23,109.5,100.3,53.80%,57.10%,33.20%,69.80%,53.00%,57.90%,7.50%,5.80%,70.7,0.42,0.357,78,46.80%,56.70%,33.20%,72.80%,15.8,1.13,71.5,40.10%,46.00%,30.80%,5.4,3.6,17.1,115.651,93.913,0.915924,6.59,B10
UNCG,235,138,109.5,103.4,50.70%,54.00%,31.10%,70.20%,50.90%,47.20%,8.80%,4.90%,64.3,0.424,0.298,70.4,43.00%,48.00%,36.20%,73.70%,11.6,1.17,67.3,41.10%,48.70%,31.00%,5.8,2.8,16.4,105.32,106.2168,0.4744173,-7.7151,SC
Norfolk State,309,183,109.4,106.6,52.20%,56.40%,33.10%,65.40%,50.20%,49.00%,9.60%,5.10%,67.8,0.276,0.384,74.7,48.00%,54.50%,30.80%,75.30%,13.2,1.06,71.8,42.70%,49.40%,33.80%,6.5,2.9,17.8,106.8163,109.6244,0.4242194,-5.4115,MEAC
Delaware,138,235,109.3,112.2,55.10%,58.40%,22.20%,67.80%,46.10%,50.80%,9.00%,4.60%,70.2,0.399,0.3,76.8,47.50%,54.10%,37.70%,77.70%,13.9,1.19,78.7,46.20%,51.90%,35.30%,6.3,2.8,17,109.2118,114.8324,0.3595229,-15.1299,CAA
Texas State,226,198,109.3,108.7,50.70%,55.00%,35.10%,68.50%,52.20%,52.60%,10.00%,7.10%,66.6,0.28,0.36,74.7,45.70%,49.40%,36.20%,76.00%,13.9,1.12,74.5,43.30%,47.40%,36.10%,6.9,4.1,18.5,108.5132,112.229,0.4059206,-11.5225,SB
East Tennessee State,260,148,109.2,102.6,50.20%,52.90%,35.30%,70.40%,52.40%,50.70%,11.60%,6.20%,65.5,0.418,0.332,71.6,43.00%,48.90%,34.70%,66.50%,12.7,1.21,67.4,43.40%,49.70%,34.30%,7.6,3.4,16.7,104.9208,105.7159,0.4783172,-9.3183,SC
Robert Morris,249,139,109.2,102.3,51.20%,54.90%,35.00%,72.10%,53.20%,60.40%,9.20%,7.70%,69.2,0.368,0.376,76.9,44.80%,50.80%,34.50%,71.80%,16.1,1.26,71.6,44.70%,50.60%,34.00%,6.4,4.4,16.8,106.717,104.613,0.5564139,-4.189,Horz
Texas A&M,9,18,109.2,100.6,47.60%,51.70%,41.40%,72.00%,55.90%,47.40%,11.10%,7.30%,67.8,0.377,0.413,74.6,41.80%,48.60%,30.70%,69.20%,11.9,0.98,68.7,40.60%,46.80%,33.30%,7.6,4,17.5,116.244,93.712,0.922921,5.317,SEC
Tulane,167,145,109.2,104.6,52.10%,56.00%,27.20%,67.60%,48.40%,56.70%,10.90%,7.40%,67.6,0.394,0.351,74.1,45.40%,52.90%,33.90%,75.20%,14.6,1.36,71.2,41.40%,48.30%,32.30%,7.4,4.4,17.3,108.7128,106.3171,0.5625137,-8.7171,Amer
Cal State Northridge,232,104,109.1,101.6,51.70%,55.30%,35.10%,75.80%,55.20%,55.20%,10.20%,5.20%,72.6,0.307,0.356,79.5,46.40%,51.60%,34.70%,72.90%,15.7,1.15,74.3,41.10%,46.70%,35.70%,7.5,2.9,21,107.4152,105.5154,0.550914,-5.1109,BW
Saint Joseph's,81,76,109.1,99.5,51.60%,55.10%,30.10%,72.10%,51.60%,56.10%,9.40%,9.30%,68.3,0.465,0.317,75.1,43.80%,52.80%,33.50%,74.60%,14.5,1.29,68.6,41.40%,45.30%,33.40%,6.5,5.6,14.4,109.7111,100.872,0.726182,-4.9107,A10
Bryant,205,141,109,101.9,50.70%,53.70%,33.80%,70.50%,52.20%,48.80%,8.90%,9.40%,72.9,0.348,0.299,79.8,44.90%,51.30%,33.00%,71.60%,14.2,1.19,74.9,42.00%,47.40%,32.40%,6.6,6,16.2,105.9191,105.415,0.5130152,-7.1139,AE
Elon,246,184,108.9,107.6,50.40%,55.00%,36.10%,68.40%,53.60%,48.60%,7.60%,6.70%,65.4,0.416,0.387,71.5,43.50%,50.80%,33.20%,76.00%,11.6,0.93,70.9,40.80%,46.90%,33.00%,5,4.2,13.8,106.4179,112.1287,0.3559234,-11.0217,CAA
Rutgers,41,77,108.9,109.5,50.60%,54.20%,30.70%,67.70%,49.00%,47.60%,9.90%,6.40%,69.4,0.363,0.362,77,44.60%,51.30%,32.90%,71.80%,12.9,1.18,77.6,46.20%,52.90%,35.10%,7,3.9,17.1,116.245,103.9113,0.783068,-3.481,B10
Kansas,10,20,108.8,99.4,53.10%,55.40%,30.50%,72.40%,52.60%,61.20%,8.90%,7.70%,69.2,0.341,0.244,76.1,47.00%,53.00%,35.40%,71.60%,17.7,1.5,69.6,40.00%,46.30%,30.80%,6.2,4.7,14.4,116.147,93.711,0.921622,4.025,B12
Longwood,245,210,108.8,108.6,51.30%,55.70%,32.10%,70.40%,50.60%,49.80%,10.70%,3.80%,70.4,0.339,0.454,76.6,45.70%,52.30%,33.00%,72.40%,12.9,1.02,76.1,49.00%,59.90%,33.70%,7.5,2.1,18.7,105.0205,110.4257,0.3593231,-9.8194,BSth
Arkansas,32,40,108.7,100.7,52.20%,55.90%,28.10%,70.10%,50.10%,52.10%,10.60%,9.10%,70.2,0.366,0.356,76.8,46.20%,54.10%,32.70%,73.90%,14.2,1.23,71.4,41.50%,47.90%,31.40%,7.5,5.6,16.2,113.763,95.417,0.883438,1.242,SEC
