Team,SOS,NET,Offensive Rating,Defensive Rating,EFG,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,PACE,3PAR,FTAR,PPG,FG%,2FG%,3FG%,FT%,APG,AST-TOV,Allowed_PPG,Allowed_FG%,2Point_Allowed_FG%,3Point_Allowed_FG%,SPG,BPG,Fouls,ADJOE,ADJDE,BARTHAG,WAB,CONF
Oral Roberts,250,334,103.3,120.4,50.00%,54.20%,22.60%,66.90%,44.10%,39.80%,6.80%,4.30%,68.5,0.457,0.35,71.1,42.10%,48.50%,34.40%,75.90%,9.4,0.84,82,47.90%,56.60%,35.00%,4.7,2.5,18.6,103.7223,115.8337,0.2195298,-17.3328,Sum
Virginia Tech,105,167,103.3,109.6,51.20%,54.30%,31.00%,70.80%,50.90%,51.50%,8.10%,3.40%,66.2,0.404,0.308,69.2,44.20%,50.30%,35.00%,71.40%,12.6,0.94,73.2,45.50%,54.60%,32.60%,5.4,1.9,17,106.1188,105.114,0.5276148,-9.419,ACC
Alabama State,345,274,103.2,105.1,47.00%,50.10%,27.90%,69.20%,47.20%,44.70%,11.20%,5.00%,69.4,0.427,0.291,71.9,40.00%,45.60%,32.60%,69.20%,11.3,1.24,72.7,43.90%,50.80%,33.70%,7.7,2.8,18.4,100.8279,109.2237,0.2836268,-10.2202,SWAC
Fordham,104,239,103.2,110.7,48.70%,52.40%,31.60%,69.40%,49.60%,52.10%,10.60%,5.70%,70.4,0.415,0.329,73.5,42.00%,49.10%,32.00%,72.30%,13.3,1.01,78.5,47.20%,52.60%,35.50%,7.5,3.3,18.9,106.3186,111.3268,0.3701224,-14.228,A10
Holy Cross,291,310,103.2,111.1,53.10%,55.20%,23.30%,72.90%,48.60%,48.20%,6.50%,4.90%,65.9,0.423,0.222,68.6,44.90%,49.60%,38.50%,71.70%,12.2,1.03,73.7,47.00%,54.50%,34.50%,4.3,2.9,14.2,100.9274,116.0342,0.1674331,-15.6306,Pat
South Carolina,19,87,103.2,106.7,48.90%,53.40%,30.40%,72.70%,51.60%,54.50%,8.40%,5.10%,67.1,0.39,0.433,69.8,42.70%,49.80%,31.60%,71.50%,12.6,1.02,71.4,45.40%,51.10%,34.80%,5.6,2.9,16.1,110.1105,99.658,0.758774,-5.7118,SEC
UMKC,252,241,103.2,107,48.40%,52.60%,32.70%,70.70%,51.30%,48.10%,9.40%,5.80%,65.7,0.44,0.309,67.7,41.20%,47.50%,33.10%,76.90%,11.1,0.91,70.3,44.70%,53.60%,31.80%,6.2,3.2,17.3,100.6283,105.7161,0.359323,-14.8294,Sum
Hawaii,178,223,103.1,106.3,50.60%,55.00%,30.90%,75.00%,53.80%,49.40%,5.30%,3.90%,66.7,0.374,0.399,69.3,44.80%,53.10%,31.00%,74.40%,11.7,0.84,71.9,43.80%,48.10%,35.00%,3.6,2.3,18.1,101.9259,108.0207,0.3400242,-11.322,BW
Austin Peay,265,282,103,112.4,48.70%,51.90%,25.80%,68.80%,46.10%,49.50%,9.80%,4.80%,67.3,0.402,0.289,70.1,41.90%,47.10%,34.00%,71.30%,12.3,1.23,75.8,47.00%,52.00%,37.90%,6.6,2.7,17.9,101.9258,112.9305,0.2362288,-13.6268,ASun
Appalachian State,162,170,102.9,100.6,49.70%,52.50%,27.50%,70.50%,49.70%,51.50%,8.50%,5.30%,63.7,0.411,0.352,65.8,42.70%,48.80%,34.00%,65.50%,11.8,1.1,64.6,40.10%,47.00%,29.80%,5.5,3.1,13.4,100.7281,101.281,0.4846166,-9.4189,SB
Eastern Washington,298,284,102.9,112.1,50.90%,54.80%,26.90%,66.40%,46.60%,52.00%,10.90%,5.40%,67.6,0.376,0.311,69.6,44.90%,52.50%,32.30%,77.30%,12.9,1.02,76.3,47.30%,53.80%,36.90%,7.4,3,18.8,101.926,112.0283,0.2526283,-16.5318,BSky
SIUE,316,216,102.9,101.3,48.50%,51.50%,31.30%,70.30%,50.70%,51.80%,9.20%,7.20%,67.1,0.366,0.331,69.6,42.50%,47.90%,33.10%,67.30%,12.8,1.1,68.3,41.20%,46.30%,33.10%,6.2,4.1,16.8,100.9273,105.9163,0.3667225,-7.8153,OVC
Stonehill,357,312,102.9,107.5,51.10%,54.30%,26.40%,70.60%,48.80%,60.40%,9.00%,4.60%,65.5,0.445,0.314,67.3,43.20%,49.40%,35.40%,72.10%,14.1,1.17,70.9,45.00%,50.10%,34.90%,6,2.6,16.7,100.329,115.2332,0.168433,-13.8273,NEC
Dartmouth,197,209,102.8,102.5,50.30%,53.90%,22.80%,75.10%,49.60%,56.90%,6.90%,4.70%,71.9,0.465,0.303,74.2,42.40%,49.80%,33.90%,75.10%,14.5,1.24,73.5,43.40%,52.10%,29.60%,5,3,15.1,100.6284,101.891,0.4643176,-10.6209,Ivy
West Virginia,25,51,102.8,98,50.00%,52.80%,25.90%,69.20%,47.60%,56.50%,11.40%,7.40%,65.3,0.461,0.256,68.2,42.50%,50.90%,32.60%,72.00%,13.8,1.28,64.8,40.90%,47.30%,29.70%,7.6,4.1,16.6,110.1104,92.36,0.883837,1.441,B12
Bowling Green,324,289,102.7,108,49.80%,53.90%,25.50%,72.50%,48.70%,43.60%,10.00%,5.30%,70,0.396,0.345,71.9,43.20%,49.50%,33.60%,74.70%,10.8,0.89,75.4,45.50%,54.60%,33.20%,7,3.1,17.5,99.7299,108.5218,0.2749273,-14.3282,MAC
Loyola-Marymount,146,162,102.7,105.4,50.30%,53.40%,22.80%,69.20%,46.70%,50.90%,8.20%,6.60%,68.5,0.404,0.29,70.3,43.60%,50.70%,33.10%,72.20%,12.8,1.23,72.1,42.70%,49.00%,31.90%,5.6,4,16.6,104.3216,103.5109,0.5216149,-7.0138,WCC
Coastal Carolina,332,328,102.5,111.9,49.40%,52.80%,29.10%,71.20%,50.90%,49.20%,4.80%,2.80%,64.1,0.392,0.344,66,42.60%,47.70%,34.80%,69.40%,11.3,0.96,72.2,42.70%,48.50%,32.50%,3.1,1.6,17.9,101.2268,114.8326,0.1901318,-18.3333,SB
Niagara,279,322,102.5,109.4,52.00%,55.30%,23.30%,72.80%,48.00%,51.40%,9.30%,4.00%,64.9,0.428,0.304,67.4,44.60%,51.80%,34.90%,74.00%,12.2,1,71.6,46.00%,51.80%,36.70%,6.1,2.2,15.5,100.9276,115.5334,0.1742328,-16.732,MAAC
Penn,169,304,102.5,114.4,49.40%,52.30%,26.90%,70.30%,48.30%,55.70%,7.20%,2.80%,67.6,0.444,0.289,69.6,42.20%,49.90%,32.60%,69.70%,13.7,1.24,77.4,45.00%,49.90%,37.50%,4.9,1.7,15.3,103.2233,116.0341,0.2072305,-13.9275,Ivy
UTEP,109,157,102.5,104.6,49.20%,53.20%,25.40%,67.60%,45.70%,51.00%,13.80%,5.20%,69.1,0.362,0.369,71.1,43.00%,47.70%,34.60%,71.90%,12.5,1.08,72.1,45.50%,54.00%,33.40%,9.5,2.8,18.2,105.7195,104.3124,0.5384147,-8.617,CUSA
Loyola-Maryland,342,308,102.4,107.9,50.10%,52.90%,28.60%,72.10%,49.70%,54.80%,10.30%,5.10%,66.8,0.396,0.293,68.7,43.60%,50.70%,32.90%,68.90%,13.6,1.15,72.1,46.50%,52.90%,35.10%,6.9,2.9,15.5,99.9296,112.7302,0.2007309,-16.1313,Pat
Tennessee Tech,340,292,102.4,107.3,50.70%,53.60%,24.90%,67.70%,46.80%,59.30%,9.20%,4.20%,68.6,0.464,0.289,70.8,42.60%,49.10%,35.10%,70.80%,14.7,1.22,74.1,44.20%,50.60%,31.90%,6.4,2.7,13.6,101.3267,112.3294,0.233929,-13.3263,OVC
Boston College,152,202,102.3,110.3,48.90%,52.40%,28.80%,70.10%,49.10%,45.30%,7.60%,6.70%,66.9,0.33,0.315,70.4,43.20%,47.60%,34.40%,71.80%,11.5,0.96,75.8,45.60%,51.40%,35.20%,5.2,3.9,18.5,105.0206,106.5174,0.4612177,-10.12,ACC
Rider,317,314,102.3,110.4,47.70%,51.20%,32.20%,69.30%,50.40%,50.60%,8.20%,5.40%,65.5,0.301,0.296,67,43.00%,48.10%,31.20%,72.20%,12.5,1.12,71.8,45.80%,52.80%,35.70%,5.4,3.1,14.5,102.1255,115.0328,0.2029308,-14.729,MAAC
Tennessee-Martin,302,291,102.3,107.5,47.70%,51.20%,34.70%,69.30%,51.30%,51.10%,11.50%,4.30%,67,0.474,0.344,70.2,40.30%,48.60%,31.10%,69.40%,12.1,0.91,73.2,43.80%,51.90%,35.00%,7.8,2.5,17,102.1256,112.73,0.2430285,-15.5305,OVC
Binghamton,335,311,102.2,108.4,51.60%,54.70%,26.90%,73.00%,51.20%,51.70%,6.50%,4.90%,66.2,0.362,0.337,68.6,45.20%,50.60%,35.40%,70.10%,12.6,0.96,73,43.30%,49.80%,33.60%,4.3,2.9,16.1,98.831,112.1288,0.1892319,-14.2281,AE
Lehigh,287,281,102.2,107.2,51.30%,53.90%,21.20%,70.90%,45.90%,50.90%,8.50%,3.60%,66.6,0.373,0.316,68.7,44.50%,49.30%,36.40%,67.80%,12.5,1.19,72.2,45.10%,53.20%,31.20%,5.8,2,16.2,99.8298,111.7279,0.21563,-15.3302,Pat
Marist,343,246,102.2,98.6,50.10%,52.40%,30.40%,75.00%,52.90%,55.80%,8.80%,6.20%,63.8,0.376,0.225,66,44.10%,51.70%,31.50%,70.80%,14,1.18,64.5,41.10%,45.00%,33.80%,5.8,3.4,14.9,96.8334,106.5175,0.2497284,-8.0158,MAAC
Oklahoma State,77,95,102.2,105.4,48.60%,53.00%,31.10%,70.40%,50.30%,51.40%,12.50%,5.10%,71.4,0.347,0.41,73,42.80%,48.00%,33.10%,71.70%,12.7,0.93,76.3,45.50%,53.10%,35.30%,9.1,2.9,19.5,108.1137,99.659,0.718285,-3.685,B12
Portland,188,288,102.1,115.9,50.10%,54.40%,23.90%,70.10%,47.30%,61.40%,6.50%,4.40%,69.1,0.436,0.322,71.7,42.80%,49.80%,33.70%,77.90%,15,1.19,81.2,46.90%,53.30%,37.80%,4.5,2.8,15.4,106.4181,113.5313,0.3216248,-12.7252,WCC
Tulsa,229,271,102.1,108.7,49.50%,52.50%,27.20%,68.90%,48.50%,54.20%,8.80%,4.50%,67.6,0.423,0.342,70.1,42.90%,51.50%,31.20%,67.20%,13.4,1.16,74.2,44.10%,50.00%,32.70%,6,2.7,16,102.2252,108.0208,0.345124,-14.4283,Amer
Le Moyne,321,350,102,115.7,51.50%,55.10%,25.70%,67.20%,46.70%,54.30%,9.50%,3.40%,68.5,0.413,0.377,71.9,44.80%,53.20%,32.80%,71.00%,13.5,0.98,81.4,47.00%,54.10%,37.00%,6.7,2,19.3,102.9241,122.2362,0.1216347,-19.2339,NEC
Lamar,172,169,101.9,101.5,47.20%,50.40%,35.50%,68.30%,51.70%,56.60%,10.50%,9.00%,65.9,0.328,0.29,67.4,41.40%,44.30%,35.60%,69.90%,13.8,1.1,67,41.40%,47.90%,31.40%,6.9,5.1,15.5,101.8261,102.192,0.4919165,-7.2142,Slnd
Mercer,273,261,101.8,106.3,49.00%,51.40%,28.80%,71.30%,49.60%,46.40%,10.70%,4.30%,71.5,0.401,0.298,73.7,42.60%,49.80%,31.80%,65.30%,12.4,1.03,77,42.80%,49.70%,34.70%,7.7,2.6,16.8,98.3318,107.5193,0.2618279,-14.5288,SC
Missouri State,149,245,101.8,108.6,50.90%,53.40%,32.10%,71.60%,51.20%,49.90%,10.70%,5.10%,64.4,0.37,0.343,67.5,44.30%,49.10%,36.00%,65.40%,12,0.88,71.9,47.50%,55.00%,36.10%,7.1,2.7,18.4,102.225,105.3147,0.4127201,-17.0326,MVC
Weber State,294,301,101.8,112.5,50.20%,53.50%,24.20%,70.00%,47.30%,42.70%,9.70%,4.00%,66.1,0.372,0.347,67.9,44.20%,51.10%,32.40%,70.10%,10.3,0.92,74.4,45.50%,52.20%,36.70%,6.4,2.2,18.2,100.8277,112.1285,0.2295293,-17.2327,BSky
Lafayette,318,283,101.6,104.5,50.20%,53.10%,24.00%,72.10%,48.20%,59.40%,8.40%,6.10%,65.9,0.403,0.305,67.8,43.40%,49.70%,34.00%,69.20%,14.4,1.3,69.7,43.60%,48.40%,35.80%,5.6,3.5,15.4,97.8325,108.8229,0.2267295,-16.8322,Pat
Seattle University,158,155,101.6,100.5,46.50%,51.30%,29.90%,73.00%,49.90%,51.30%,11.90%,6.00%,67.7,0.363,0.423,68.8,40.90%,46.30%,31.30%,71.30%,11.7,1.02,67.6,45.00%,53.30%,31.90%,8,3.1,17.8,102.924,101.384,0.5460142,-12.3243,WAC
Denver,269,300,101.5,112.2,50.30%,53.90%,25.90%,70.90%,47.70%,43.30%,9.20%,4.80%,68.1,0.369,0.316,70.3,44.20%,50.50%,33.30%,74.00%,10.8,0.85,77.7,47.80%,56.20%,34.10%,6.4,2.6,22.4,100.1294,108.622,0.2828271,-16.0312,Sum
Harvard,159,256,101.5,107.8,50.60%,53.80%,25.00%,68.90%,47.10%,54.40%,11.10%,5.00%,67,0.399,0.244,68.3,44.20%,52.20%,32.00%,77.60%,13.7,1.13,72.3,46.10%,53.40%,33.50%,7.5,2.9,14.4,102.1253,107.8203,0.3486238,-10.9212,Ivy
Western Illinois,347,337,101.5,111.3,50.20%,52.80%,27.80%,68.30%,48.20%,38.30%,8.20%,6.00%,65,0.371,0.272,66.6,43.20%,46.60%,37.40%,69.20%,9.3,0.78,73.3,45.00%,50.20%,35.20%,5.4,3.5,14.5,99.6302,116.9346,0.1371341,-16.3316,OVC
Boston University,330,290,101.4,105.8,50.20%,52.80%,32.30%,76.60%,53.80%,48.70%,8.90%,5.00%,63.7,0.419,0.309,65.6,43.20%,50.60%,33.10%,67.10%,11.4,0.86,68.3,45.20%,51.20%,36.30%,5.7,2.6,16,98.4317,111.5275,0.1917313,-13.2262,Pat
New Mexico State,133,144,101.3,101.7,46.20%,49.70%,32.50%,72.30%,52.10%,45.60%,8.60%,3.90%,66.6,0.37,0.345,67.7,40.50%,46.10%,30.90%,67.70%,10.8,1.04,67.3,40.50%,48.80%,29.50%,5.7,2.2,18.6,104.8211,99.353,0.6493106,-8.6169,CUSA
La Salle,96,214,101.2,108.1,46.10%,50.00%,30.40%,70.60%,49.50%,45.10%,10.20%,6.00%,69.8,0.332,0.314,70.9,40.60%,44.50%,32.80%,72.40%,11.3,1.04,75.5,45.60%,54.50%,33.20%,7.1,3.6,16,103.423,107.6195,0.3857216,-11.9234,A10
Northwestern State,230,230,101.2,106.4,48.70%,52.00%,33.10%,67.40%,50.50%,53.30%,10.20%,7.40%,64.1,0.357,0.322,65.4,42.50%,46.50%,35.20%,70.00%,12.3,0.94,69,42.60%,46.80%,36.20%,6.6,4.2,15.8,102.8242,107.0187,0.3879213,-9.5191,Slnd
VMI,307,298,101.2,110.5,48.50%,53.40%,25.20%,67.90%,46.60%,48.40%,10.90%,4.40%,68,0.469,0.375,69.1,41.20%,50.20%,31.00%,76.70%,11,0.89,75.5,46.00%,56.30%,34.50%,7.5,2.6,16.6,98.4316,111.6277,0.1905317,-14.9295,SC
Mount Saint Mary's,185,236,101.1,103.5,50.90%,54.20%,30.50%,72.00%,52.60%,60.30%,8.60%,4.30%,67.6,0.411,0.305,69.3,43.80%,50.30%,34.50%,73.30%,14.7,1,70.7,41.50%,49.40%,31.80%,5.9,2.6,15.6,100.2,107.7,0.305,-8.1,MAAC
Merrimack,177,182,101,98.1,49.40%,52.10%,20.50%,61.60%,41.20%,49.70%,14.50%,6.80%,64.5,0.429,0.244,65.6,42.30%,49.30%,33.00%,72.30%,11.8,1.33,64.2,41.30%,47.30%,30.90%,9.5,3.8,15.7,98.6314,101.588,0.4199197,-9.9196,MAAC
Stony Brook,204,340,101,117,47.70%,51.70%,29.50%,68.70%,48.30%,48.80%,7.60%,3.50%,65,0.391,0.316,65.6,41.10%,45.80%,33.80%,74.50%,11.1,0.93,75.1,48.40%,57.20%,36.30%,4.9,2,15.4,101.5265,117.7353,0.1546333,-19.6344,CAA
Vermont,254,232,101,101.5,49.00%,52.40%,26.10%,74.40%,50.30%,49.60%,8.00%,7.60%,63.9,0.435,0.298,64.5,42.00%,49.50%,32.30%,72.10%,11.3,1.03,65,42.40%,48.30%,33.00%,5.1,4.2,13.8,99.8297,104.8135,0.3636227,-8.116,AE
Fairleigh Dickinson,334,303,100.9,106.4,49.10%,52.50%,25.50%,68.20%,46.50%,53.50%,9.70%,4.50%,68.7,0.415,0.321,70.5,42.40%,49.70%,32.20%,71.50%,13.2,1.12,74.4,45.10%,53.30%,30.30%,6.8,2.7,16.3,98.1321,110.0251,0.2122302,-15.831,NEC
UMass,125,221,100.8,105.2,45.10%,48.70%,34.30%,69.10%,50.60%,48.20%,10.70%,7.80%,70.8,0.322,0.34,72.5,40.60%,46.60%,28.00%,67.20%,12.5,1.09,75.7,43.20%,49.70%,33.20%,7.7,4.7,18.3,101.5266,106.3169,0.3707223,-13.6269,A10
Charleston Southern,179,294,100.7,112.5,48.70%,52.30%,31.10%,71.90%,51.00%,47.50%,6.60%,4.30%,68.8,0.42,0.439,70.1,42.30%,50.70%,30.70%,66.30%,11.1,0.8,78.8,48.70%,55.40%,32.40%,4.6,2.6,17.8,99.1307,112.1286,0.1959311,-16.3315,BSth
Florida A&M,333,321,100.7,111,50.60%,54.30%,27.70%,68.10%,48.50%,52.40%,7.30%,5.30%,68.3,0.466,0.367,68.8,42.80%,50.80%,33.60%,71.40%,12.1,0.86,76.1,45.20%,51.50%,34.20%,5,3.1,18.2,102.2251,116.5344,0.1810323,-10.9213,SWAC
Green Bay,216,338,100.7,116.3,50.90%,55.70%,18.40%,68.10%,44.20%,59.30%,7.20%,3.30%,69.1,0.462,0.37,69.9,43.30%,52.20%,33.00%,78.50%,13.7,1.1,80.6,47.50%,54.30%,37.10%,5,2,18.4,101.1272,115.6336,0.1759327,-22.7363,Horz
Old Dominion,234,293,100.7,109.2,44.10%,48.10%,36.30%,68.20%,51.20%,43.60%,8.30%,5.90%,66.4,0.358,0.309,67.4,39.00%,45.00%,28.30%,71.40%,10.4,0.92,72.8,45.20%,51.20%,34.10%,5.5,3.4,16.9,99.63,110.7261,0.2297292,-15.4303,SB
Wyoming,157,197,100.7,107.7,50.30%,52.60%,29.90%,72.80%,51.00%,48.20%,6.50%,5.20%,65.1,0.407,0.304,65.8,43.30%,49.50%,34.40%,65.20%,11.4,0.88,70.7,44.80%,51.70%,33.30%,4.3,2.8,19.1,103.1237,105.6157,0.4308191,-11.0216,MWC
Mercyhurst,360,336,100.6,109.8,48.60%,53.30%,22.30%,66.80%,43.50%,57.50%,10.10%,3.60%,64.5,0.364,0.309,65.8,42.10%,45.80%,35.70%,80.70%,13,1.22,71.8,47.90%,56.00%,35.70%,6.6,1.9,16.7,100.3289,115.934,0.1589332,-12.6246,NEC
Southern Indiana,338,331,100.6,108.9,47.90%,51.70%,27.90%,68.70%,48.20%,43.40%,9.50%,4.50%,68.3,0.335,0.307,69.6,42.00%,45.40%,35.20%,73.90%,10.7,0.9,75.1,45.10%,50.00%,36.70%,6.6,2.6,17.9,98.7313,114.8325,0.1488336,-17.533,OVC
Iona,239,252,100.5,101.8,47.50%,50.40%,38.80%,69.40%,53.10%,56.40%,13.90%,5.20%,68.8,0.347,0.279,69.7,42.00%,47.50%,31.80%,68.50%,14.5,1,70.5,44.40%,53.90%,32.60%,9.6,2.8,18.4,99.6301,105.5151,0.3407241,-13.8274,MAAC
Saint Francis (PA),261,297,100.5,107.8,51.80%,54.30%,25.00%,70.00%,48.00%,50.70%,8.90%,4.00%,66.4,0.42,0.24,68,44.70%,52.60%,33.80%,72.50%,12.7,0.96,73.4,44.20%,53.30%,32.20%,6.1,2.4,15.5,100.2293,111.9281,0.2181299,-12.2242,NEC
Southern,358,224,100.4,98.5,47.30%,50.60%,34.40%,71.40%,52.10%,49.20%,13.00%,7.30%,69.7,0.332,0.382,70.6,42.10%,47.40%,31.30%,65.50%,12.2,0.93,69.5,42.50%,48.20%,33.90%,9.2,4,18.8,98.7311,102.81,0.3847217,-7.214,SWAC
Stetson,341,353,100.4,118.1,50.30%,54.00%,24.10%,65.70%,45.80%,45.50%,7.20%,4.50%,69,0.376,0.331,69.9,43.90%,50.20%,33.60%,73.90%,11.2,0.86,81.9,45.70%,52.60%,35.90%,5,2.9,14.9,98.9309,119.7358,0.0997353,-19.5342,ASun
TCU,36,78,100.1,102.3,46.80%,49.70%,33.10%,70.30%,50.60%,49.90%,11.30%,6.10%,67.2,0.347,0.335,67.6,41.60%,47.80%,30.00%,64.70%,12.2,1.05,68.7,44.10%,53.40%,31.60%,7.6,3.4,15.7,106.3185,96.325,0.757775,-1.867,B12
Western Kentucky,102,159,100.1,102.5,47.90%,51.60%,23.50%,71.90%,47.70%,44.10%,10.70%,4.50%,73,0.397,0.321,73.3,41.60%,48.00%,31.70%,72.20%,11.3,0.99,74.8,40.60%,48.70%,30.50%,7.8,2.7,19,103.2234,103.4108,0.4930163,-8.4167,CUSA
Jackson State,278,264,100,105.3,47.70%,52.10%,30.10%,70.00%,50.10%,49.70%,10.10%,5.60%,70.3,0.337,0.375,71.4,42.20%,47.10%,32.60%,73.00%,12.2,0.88,74.6,43.50%,50.30%,34.10%,7.1,3.4,16.5,100.3288,107.5194,0.3098256,-10.721,SWAC
Fairfield,208,327,99.8,110.2,46.30%,49.70%,28.50%,69.10%,47.00%,51.00%,9.90%,5.30%,66.6,0.383,0.254,66.7,40.30%,45.80%,31.50%,73.30%,12.3,1.19,73.5,47.00%,53.40%,36.10%,6.6,3,16.4,97.5329,113.2308,0.1526335,-16.9324,MAAC
Little Rock,315,234,99.8,99.3,49.50%,52.60%,30.30%,64.60%,47.90%,52.60%,13.10%,9.40%,68.1,0.302,0.29,68.5,43.90%,47.10%,36.60%,70.70%,13.2,0.95,67.7,39.70%,46.30%,31.40%,8.9,5.3,17.3,98.2319,105.3146,0.3100255,-10.0199,OVC
Richmond,69,253,99.8,110.3,48.40%,52.90%,19.30%,72.30%,45.80%,51.60%,9.10%,3.70%,64.2,0.456,0.297,65.6,41.30%,49.70%,31.20%,80.80%,11.6,1.14,72.6,44.10%,52.40%,35.40%,6,2,17.6,103.5225,108.823,0.3607228,-15.23,A10
Houston Christian,285,287,99.6,107.9,49.10%,52.00%,26.00%,68.00%,46.20%,46.40%,11.70%,6.40%,64.9,0.44,0.305,64.7,41.90%,49.30%,32.50%,68.80%,10.6,0.9,69.9,47.50%,54.50%,32.30%,7.6,3.5,13.5,100.5286,108.3213,0.2973263,-14.5285,Slnd
Pacific,242,295,99.4,112.7,48.10%,52.10%,28.50%,71.80%,49.50%,49.70%,8.20%,4.80%,67.9,0.378,0.328,68,42.50%,50.30%,29.70%,73.40%,11.9,0.91,77.2,46.10%,52.90%,35.80%,5.6,2.7,18.6,100.8278,110.4254,0.2606281,-15.7309,WCC
Utah Tech,231,309,99.4,111.4,48.80%,52.20%,26.20%,66.60%,45.70%,51.60%,9.30%,5.80%,68.4,0.398,0.336,68.2,42.10%,47.90%,33.40%,70.20%,12.2,0.97,76.9,47.60%,53.70%,34.40%,6.4,3.3,19.4,101.7262,114.1318,0.2109303,-20.0348,WAC
Central Arkansas,310,343,99,115.2,47.50%,50.90%,28.50%,70.00%,48.30%,56.10%,10.30%,3.90%,67.5,0.478,0.288,68.5,40.40%,50.20%,29.60%,72.00%,13.4,1.07,79.4,46.70%,55.40%,38.70%,7.1,2.4,13.9,97.333,117.335,0.1045351,-18.4334,ASun
Hofstra,237,217,99,99.9,48.90%,51.60%,25.80%,71.40%,49.30%,55.60%,8.80%,7.00%,64.1,0.423,0.253,64.5,41.80%,48.10%,33.20%,70.80%,13,1.13,65.6,39.10%,42.60%,33.90%,5.8,3.9,17.7,97.9324,102.696,0.3664226,-13.5265,CAA
Long Beach State,176,326,98.7,114.3,49.20%,53.60%,28.50%,65.00%,47.20%,49.30%,8.10%,5.10%,65.9,0.371,0.355,65.9,42.60%,47.00%,35.30%,75.50%,11.1,0.77,75.6,46.20%,51.10%,38.10%,5.4,2.9,18.4,100.5285,114.0317,0.1907315,-19.2338,BW
Prairie View A&M,356,356,98.6,114.6,48.20%,51.50%,24.50%,60.90%,41.40%,47.50%,11.20%,5.60%,71.2,0.337,0.338,70.2,42.80%,48.60%,31.50%,69.10%,11.9,1,82.2,50.40%,57.60%,35.70%,8,3.3,18.9,96.2338,117.9354,0.0882357,-21.3358,SWAC
Saint Peter's,314,286,98.6,102.3,44.80%,49.40%,37.10%,69.20%,52.70%,45.50%,9.70%,6.50%,64.5,0.385,0.348,64.1,38.50%,42.50%,32.20%,73.60%,9.8,0.73,66.3,41.30%,47.00%,32.00%,6.3,3.5,18.8,95.3347,105.6155,0.2358289,-13.4264,MAAC
Long Island,352,280,98.5,100.2,47.70%,51.00%,32.20%,73.00%,52.10%,44.20%,11.60%,6.60%,65.2,0.334,0.276,65.5,42.60%,48.80%,30.30%,73.00%,10.7,0.8,66.5,41.80%,48.80%,31.20%,7.7,3.4,18.9,95.235,104.2122,0.261328,-12.725,NEC
Bethune-Cookman,346,277,98.4,103.8,48.20%,51.70%,28.80%,70.00%,49.80%,52.90%,9.60%,6.00%,69.8,0.339,0.359,68.6,42.80%,48.40%,31.90%,69.00%,12.8,0.94,72.2,43.00%,49.80%,31.30%,6.7,3.6,16.1,97.6326,108.6223,0.2261296,-10.2201,SWAC
North Carolina A&T,259,333,98.3,111.3,45.80%,49.30%,27.00%,68.60%,47.00%,44.40%,8.80%,5.10%,69.1,0.36,0.312,67.9,40.40%,46.30%,30.00%,68.70%,10.8,1.01,76.9,45.10%,52.40%,33.30%,6.1,3.1,15,96.6337,112.7303,0.1439338,-20.235,CAA
South Carolina Upstate,225,347,98.2,116.9,49.70%,52.50%,25.40%,67.50%,45.90%,47.70%,10.20%,3.90%,73.9,0.369,0.303,72.6,44.30%,53.00%,29.40%,67.70%,12.8,0.91,85.5,49.00%,58.30%,35.20%,7.4,2.3,19.4,99.1306,115.1329,0.1528334,-21.1356,BSth
Morehead State,293,317,98.1,107,45.90%,49.70%,31.10%,74.60%,52.10%,48.10%,8.10%,4.30%,64.6,0.341,0.376,63.7,40.60%,45.50%,31.20%,67.40%,10.6,0.9,69.8,44.60%,49.90%,34.10%,5.3,2.3,16.7,98.232,111.9282,0.1814322,-13.226,OVC
West Georgia,280,345,98.1,114.6,47.20%,50.30%,26.10%,70.80%,47.10%,51.10%,10.00%,5.20%,69.1,0.301,0.288,67.8,42.70%,48.40%,29.70%,69.00%,12.9,1.15,78.8,48.10%,56.90%,36.80%,6.9,3,15.9,96.9332,115.133,0.1212348,-20.5352,ASun
Texas Southern,355,285,97.9,101,47.50%,50.90%,30.60%,65.70%,48.30%,51.70%,11.70%,5.90%,71.3,0.358,0.29,70.4,41.50%,46.20%,33.10%,71.80%,13.1,0.92,72.4,40.70%,46.50%,32.60%,8.4,3.6,17.3,95.6344,105.0139,0.2541282,-12.0236,SWAC
Alcorn State,348,330,97.7,109.2,46.10%,49.90%,33.20%,67.90%,49.90%,43.50%,10.00%,4.60%,66.6,0.296,0.304,65.3,41.40%,45.40%,31.80%,72.00%,10.3,0.8,72.4,45.40%,54.60%,34.10%,6.6,2.6,16.7,97.6327,111.4272,0.1787325,-15.0298,SWAC
Canisius,166,357,97.6,119.1,51.20%,54.00%,18.30%,65.70%,41.60%,47.70%,9.30%,4.20%,66.4,0.414,0.233,64.8,43.60%,48.40%,36.70%,75.90%,11.2,0.92,78.6,49.50%,58.70%,36.20%,6.2,2.4,16,99.4303,121.136,0.0928354,-23.3364,MAAC
